date,open,high,low,close,volume,average,barCount,ticker
2024-01-02,90.82,92.52,90.68,91.97,1825152.493720847,91.94424479999999,9449,MMM
2024-01-03,91.33,91.52,89.3,90.12,1709473.7471594308,90.2285676,9200,MMM
2024-01-04,90.37,91.42,90.05,90.44,1683596.459753618,90.8397567,7742,MMM
2024-01-05,90.28,91.54,89.92,90.79,1013616.7922497309,90.7795575,5007,MMM
2024-01-08,90.52,91.1,89.96,91.02,1197941.6337758643,90.7143417,6175,MMM
2024-01-09,90.47,91.39,89.76,91.22,1480181.7964358332,90.8481177,8097,MMM
2024-01-10,91.15,91.24,90.17,90.55,1340304.9874416937,90.7619994,6363,MMM
2024-01-11,90.55,91.13,89.64,91.07,1598583.9014471953,90.4459536,8772,MMM
2024-01-12,91.49,92.1,90.21,90.4,1269317.067336443,90.7185222,6495,MMM
2024-01-16,90.02,90.36,89.2,90.0,1738160.5071163736,89.8314201,9619,MMM
2024-01-17,89.34,90.01,88.23,88.69,1723089.3433799786,89.0086977,9095,MMM
2024-01-18,88.9,89.25,88.07,88.99,1554776.9405573497,88.7444901,8632,MMM
2024-01-19,89.25,90.6,87.87,90.1,2167690.467647411,89.6023287,11191,MMM
2024-01-22,90.72,91.48,89.8,90.32,3479635.211099151,90.4735449,18509,MMM
2024-01-23,84.33,84.33,78.69,80.35,25000534.625044852,80.4336561,93108,MMM
2024-01-24,80.8,81.14,77.91,77.96,7536062.6719291955,79.4228112,34182,MMM
2024-01-25,78.41,80.5,78.27,80.25,4773112.067934458,79.7530707,20974,MMM
2024-01-26,80.45,81.02,80.09,80.26,2692816.648726229,80.4813138,12227,MMM
2024-01-29,80.27,81.01,79.8,80.58,2525630.9053940917,80.3592432,11763,MMM
2024-01-30,80.41,80.69,79.25,80.06,2147183.3512737714,79.8416973,10776,MMM
2024-01-31,80.22,80.22,78.73,78.89,2604833.153928956,79.3935477,13011,MMM
2024-02-01,79.02,80.28,78.54,80.19,2398193.995933501,79.6268196,11687,MMM
2024-02-02,79.66,79.76,78.84,79.32,2894450.4245903604,79.3241514,13968,MMM
2024-02-05,78.8,78.84,77.41,77.53,3377963.1623011604,77.8216797,16929,MMM
2024-02-06,77.54,78.47,77.26,78.39,2688215.5244587967,78.1268562,12495,MMM
2024-02-07,79.1,79.19,78.18,78.46,2580113.6227723956,78.5691531,12637,MMM
2024-02-08,78.72,78.91,77.51,77.92,2795190.7666547066,77.9144868,14695,MMM
